id,name,current_price,total_volume,market_cap,last_updated
yearn-finance,yearnfinance,33789.0,394024231.0,1213154817.0,2021-10-12T20:01:14.917Z
flow,Flow,17.69,116891732.0,1210683556.0,2021-10-12T20:01:31.662Z
iostoken,IOST,0.052663,187446966.0,1205836924.0,2021-10-12T20:01:27.477Z
huobi-token,Huobi Token,7.29,90144206.0,1201610778.0,2021-10-12T20:00:28.081Z
spell-token,Spell Token,0.01809875,144745442.0,1180458527.0,2021-10-12T19:59:51.004Z
zilliqa,Zilliqa,0.090988,82342119.0,1152000968.0,2021-10-12T20:01:06.878Z
mina-protocol,Mina Protocol,4.19,42694317.0,1099152431.0,2021-10-12T19:58:59.834Z
ravencoin,Ravencoin,0.106044,41921864.0,1048123328.0,2021-10-12T20:01:24.923Z
basic-attention-token,Basic Attention Token,0.688641,92182272.0,1029565609.0,2021-10-12T20:00:14.203Z
curve-dao-token,Curve DAO Token,2.62,136882705.0,1027649421.0,2021-10-12T20:01:27.675Z
mdex,Mdex,1.54,83435854.0,1007908618.0,2021-10-12T20:01:31.202Z
republic-protocol,REN,0.991693,89280864.0,997414322.0,2021-10-12T20:01:01.071Z
serum,Serum,7.32,138584736.0,981487734.0,2021-10-12T20:01:23.019Z
decentraland,Decentraland,0.739682,61345141.0,980069521.0,2021-10-12T20:00:40.694Z
renbtc,renBTC,55661.0,2515768.0,977317350.0,2021-10-12T19:59:13.101Z
telcoin,Telcoin,0.01739107,9792871.0,970470070.0,2021-10-12T19:58:39.237Z
paxos-standard,Pax Dollar,1.0,28845491.0,954681441.0,2021-10-12T20:01:23.402Z
nexo,NEXO,1.65,10006631.0,927048028.0,2021-10-12T20:01:32.226Z
nxm,Nexus Mutual,134.06,7179.72,925327011.0,2021-10-12T16:28:40.110Z
safemoon,SafeMoon,1.57e-06,5009045.0,903112025.0,2021-10-12T20:00:56.675Z
osmosis,Osmosis,4.58,6678832.0,893526063.0,2021-10-12T19:57:28.974Z
