,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
24,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,46.56,7775929635.0,25.0,21832648865.0,285184789.0,49.67,46.53,-2.248039750873,-4.60556,-426694557.5535526,-5.20193,167115443.27,469213710.0,469213710.0,700.65,-93.35717,2021-05-10T16:05:53.653Z,27.44,69.63864,2021-07-20T10:14:50.919Z,,2021-10-10T20:14:46.131Z
25,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.114901,7711281008.0,26.0,,331374411.0,0.118977,0.115011,-0.001853751791,-1.58773,-141425920.10486698,-1.80098,66760741299.0,86712634466.0,,0.280991,-58.87757,2021-04-19T01:08:21.675Z,0.00191713,5927.248,2020-03-13T02:29:59.652Z,"{'times': 10.354705782707244, 'currency': 'eth', 'percentage': 1035.4705782707244}",2021-10-10T20:14:17.840Z
26,axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,123.97,7572087274.0,27.0,33495381994.0,415009133.0,127.4,121.54,-1.79017741688,-1.42348,-180097386.0342064,-2.32318,61037177.135132976,270000000.0,270000000.0,155.88,-20.44145,2021-10-04T11:05:28.225Z,0.123718,100138.28733,2020-11-06T08:05:43.662Z,,2021-10-10T20:14:52.140Z
27,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.101141,7236294128.0,28.0,,1209597802.0,0.103893,0.099599,-0.001171909564,-1.14541,-154629806.5794735,-2.09216,71660220128.0,100850743812.0,,0.231673,-56.36238,2018-01-05T00:00:00.000Z,0.00180434,5502.95598,2017-11-12T00:00:00.000Z,"{'times': 52.232274960053424, 'currency': 'usd', 'percentage': 5223.227496005342}",2021-10-10T20:14:39.520Z
28,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,54.73,7122274711.0,29.0,11521414034.0,5046694956.0,56.32,54.2,-0.972635083886,-1.74612,-196213404.73665237,-2.68106,130249922.210176,210700000.0,210700000.0,167.09,-67.31448,2021-05-06T18:34:22.133Z,0.615038,8779.56864,2016-07-25T00:00:00.000Z,"{'times': 120.6224809939554, 'currency': 'usd', 'percentage': 12062.24809939554}",2021-10-10T20:13:56.514Z
29,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,6.61,6605892105.0,30.0,,275213672.0,6.98,6.57,-0.167156106987,-2.46592,-211553052.48686504,-3.10311,1000000000.0,1000000000.0,,15.72,-57.96504,2021-04-16T13:15:11.190Z,0.04039979,16255.96851,2020-03-13T02:24:16.483Z,"{'times': 43.076544576855696, 'currency': 'usd', 'percentage': 4307.6544576855695}",2021-10-10T20:14:43.870Z
30,ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,54.78,6577913095.0,31.0,18366282740.0,148800408.0,56.24,54.46,-0.47546777688,-0.86043,-126303895.39755344,-1.88395,120455699.41874424,336326035.485972,336326035.485972,84.18,-35.18203,2021-09-09T16:59:43.151Z,1.15,4645.97751,2019-09-06T00:00:00.000Z,,2021-10-10T20:14:45.599Z
31,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,1.0,6549570895.0,32.0,6549570895.0,305482148.0,1.01,0.996007,0.00249724,0.24979,24206865.0,0.37097,6534479930.79949,6534479930.79949,6534479930.79949,1.22,-17.89471,2020-03-13T03:02:50.373Z,0.903243,10.80144,2019-11-25T00:04:18.137Z,,2021-10-10T20:11:20.096Z
32,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,7.29,6277274213.0,33.0,,487642120.0,8.05,7.25,-0.069417694724,-0.94303,-108302279.76574135,-1.69605,862551529.30184,,,9.12,-20.18884,2021-10-04T00:41:18.025Z,0.350476,1975.93022,2018-12-07T00:00:00.000Z,"{'times': 14.514289487888183, 'currency': 'usd', 'percentage': 1451.4289487888184}",2021-10-10T20:14:09.073Z
33,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,70.8,5604278347.0,34.0,,162446519.0,77.52,70.32,-0.849565148681,-1.18569,62091578.0,1.12034,79185705.0230415,79185705.0230415,,87.15,-18.84599,2021-05-12T14:49:23.076Z,1.89,3649.28741,2020-03-13T02:22:33.711Z,,2021-10-10T20:12:33.714Z
