id,name,current_price,total_volume,market_cap,last_updated
ton-crystal,TON Crystal,0.360571,488864.0,231725155.0,2021-10-12T10:27:34.135Z
dawn-protocol,Dawn Protocol,3.23,53782076.0,230151225.0,2021-10-12T10:30:03.437Z
allianceblock,AllianceBlock,0.769895,5031438.0,229830845.0,2021-10-12T10:27:25.442Z
steem,Steem,0.571407,3100308.0,228070725.0,2021-10-12T10:30:10.943Z
orion-protocol,Orion Protocol,7.11,9690981.0,221131967.0,2021-10-12T10:30:14.569Z
frax-share,Frax Share,6.26,13046449.0,220355583.0,2021-10-12T10:29:13.687Z
alien-worlds,Alien Worlds,0.177277,42781704.0,219977631.0,2021-10-12T10:29:40.499Z
synapse-2,Synapse,2.92,14046129.0,217461256.0,2021-10-12T10:29:38.665Z
keep-network,Keep Network,0.394604,16277531.0,216928787.0,2021-10-12T10:30:15.735Z
stratis,Stratis,2.11,6468991.0,216329216.0,2021-10-12T10:29:49.470Z
flex-coin,FLEX Coin,2.73,227175520.0,215026938.0,2021-10-12T10:26:40.679Z
balancer,Balancer,19.66,28874860.0,212094812.0,2021-10-12T10:30:24.542Z
nkn,NKN,0.326098,13928379.0,211709119.0,2021-10-12T10:29:55.514Z
origintrail,OriginTrail,0.585799,4422920.0,211304429.0,2021-10-12T10:30:15.085Z
metal,Metal,3.24,42983670.0,210303466.0,2021-10-12T10:30:09.023Z
alchemix,Alchemix,277.27,6082562.0,208185106.0,2021-10-12T10:30:19.235Z
funfair,FUNToken,0.01964508,19704978.0,208143387.0,2021-10-12T10:30:17.266Z
klever,Klever,0.03775894,1942909.0,207550638.0,2021-10-12T10:29:58.648Z
rif-token,RSK Infrastructure Framework,0.26369,5142098.0,206868631.0,2021-10-12T10:27:38.351Z
alchemy-pay,Alchemy Pay,0.060171,32439115.0,203652259.0,2021-10-12T10:30:02.607Z
ellipsis,Ellipsis,0.483609,16298440.0,201839128.0,2021-10-12T10:29:31.869Z
anyswap,Anyswap,11.72,14062952.0,201708287.0,2021-10-12T10:29:35.905Z
lido-dao,Lido DAO,3.55,2145037.0,200749037.0,2021-10-12T10:29:39.187Z
beldex,Beldex,0.130975,158564.0,196468720.0,2021-10-12T10:23:55.455Z
auction,Bounce,27.59,34363335.0,195845254.0,2021-10-12T10:30:12.204Z
superfarm,SuperFarm,0.680574,51091624.0,195665537.0,2021-10-12T10:25:01.713Z
quark-chain,QuarkChain,0.02952318,41327886.0,194300068.0,2021-10-12T10:30:04.154Z
star-atlas,Star Atlas,0.088853,18120880.0,191433889.0,2021-10-12T10:29:33.446Z
ufo-gaming,UFO Gaming,7.36e-06,1416553.0,189702463.0,2021-10-12T10:25:14.658Z
playdapp,PlayDapp,0.794578,32065515.0,189425770.0,2021-10-12T10:30:06.155Z
my-neighbor-alice,My Neighbor Alice,10.76,69921740.0,187203794.0,2021-10-12T10:30:19.621Z
orchid-protocol,Orchid Protocol,0.316483,14969377.0,186846685.0,2021-10-12T10:30:14.119Z
defipulse-index,DeFiPulse Index,310.64,1871020.0,185330709.0,2021-10-12T10:30:16.982Z
melon,Enzyme,127.89,17436819.0,185026504.0,2021-10-12T10:30:03.080Z
privateum,Privateum,2.32,764538.0,184859488.0,2021-10-12T10:29:59.781Z
truefi,TrueFi,0.413003,4777322.0,184196618.0,2021-10-12T10:30:11.987Z
