id,name,current_price,total_volume,market_cap,last_updated
serum,Serum,7.56,123584679.0,1008371090.0,2021-10-13T23:36:30.191Z
republic-protocol,REN,0.991924,62300750.0,992526865.0,2021-10-13T23:36:22.983Z
perpetual-protocol,Perpetual Protocol,17.74,146658220.0,984602391.0,2021-10-13T23:36:38.069Z
renbtc,renBTC,57387.0,4583295.0,982357437.0,2021-10-13T23:33:11.642Z
nexo,NEXO,1.72,12277169.0,964629583.0,2021-10-13T23:36:17.392Z
spell-token,Spell Token,0.01449937,63724355.0,963062573.0,2021-10-13T23:36:33.578Z
nxm,Nexus Mutual,137.72,1049.84,950599492.0,2021-10-13T22:52:43.106Z
paxos-standard,Pax Dollar,1.0,28351322.0,936671299.0,2021-10-13T23:36:47.692Z
siacoin,Siacoin,0.01891509,41242251.0,930076761.0,2021-10-13T23:36:36.887Z
mdex,Mdex,1.42,48893507.0,924875944.0,2021-10-13T23:36:47.848Z
osmosis,Osmosis,4.68,5955314.0,914043905.0,2021-10-13T23:27:19.745Z
kucoin-shares,KuCoin Token,11.69,9649589.0,908427551.0,2021-10-13T23:33:33.090Z
bancor,Bancor Network Token,3.89,54114078.0,893563042.0,2021-10-13T23:36:36.204Z
0x,0x,1.02,90058932.0,861980352.0,2021-10-13T23:36:32.570Z
ontology,Ontology,0.975923,137201317.0,854256046.0,2021-10-13T23:36:22.005Z
zencash,Horizen,73.04,25581162.0,849426043.0,2021-10-13T23:35:57.679Z
metahero,Metahero,0.178295,28769178.0,838562380.0,2021-10-13T23:36:30.478Z
audius,Audius,2.01,20881341.0,827531072.0,2021-10-13T23:35:13.627Z
secret,Secret,5.5,51271721.0,820911838.0,2021-10-13T23:35:08.421Z
celer-network,Celer Network,0.141778,170436056.0,800790162.0,2021-10-13T23:36:26.114Z
xsushi,xSUSHI,12.02,5231427.0,791470806.0,2021-10-13T23:35:43.391Z
wonderland,Wonderland,7768.4,36938901.0,773178058.0,2021-10-13T23:22:21.782Z
compound-usdt,cUSDT,0.02149953,18940692.0,751662214.0,2021-10-13T23:34:22.060Z
raydium,Raydium,10.0,154745804.0,721732078.0,2021-10-13T23:36:51.209Z
digibyte,DigiByte,0.04883217,20339633.0,718294318.0,2021-10-13T23:36:50.905Z
nano,Nano,5.22,16860224.0,695896093.0,2021-10-13T23:36:56.845Z
coin98,Coin98,3.69,220784844.0,683329833.0,2021-10-13T23:36:42.573Z
ankr,Ankr,0.08791,37195440.0,675897001.0,2021-10-13T23:36:48.163Z
link,LINK,110.9,1093867.0,662712404.0,2021-10-13T23:27:46.349Z
the-sandbox,The Sandbox,0.740648,61770514.0,660876316.0,2021-10-13T23:36:52.221Z
polymath,Polymath,0.750341,25466626.0,654849646.0,2021-10-13T23:36:34.771Z
gatechain-token,GateToken,4.06,4745622.0,653969724.0,2021-10-13T23:36:09.168Z
liquity-usd,Liquity USD,1.0,26153120.0,652624458.0,2021-10-13T23:33:40.243Z
iotex,IoTeX,0.067737,38771262.0,643664092.0,2021-10-13T23:36:17.404Z
gala,Gala,0.084936,123964590.0,640944197.0,2021-10-13T23:36:38.128Z
uma,UMA,10.04,27022223.0,633040277.0,2021-10-13T23:36:43.758Z
skale,SKALE,0.298981,26643076.0,632895674.0,2021-10-13T23:36:43.450Z
swissborg,SwissBorg,0.641115,1623573.0,611290176.0,2021-10-13T23:35:53.152Z
neutrino,Neutrino USD,0.987332,42705916.0,567268684.0,2021-10-13T23:28:08.839Z
fx-coin,Function X,1.35,40060698.0,562145939.0,2021-10-13T23:35:40.156Z
constellation-labs,Constellation,0.227663,6636806.0,559033724.0,2021-10-13T23:33:27.915Z
golem,Golem,0.551996,2507638.0,551812356.0,2021-10-13T23:36:53.134Z
moonriver,Moonriver,275.81,27109993.0,544647814.0,2021-10-13T23:36:40.282Z
kava,Kava,5.95,77094835.0,544200583.0,2021-10-13T23:35:56.552Z
wazirx,WazirX,1.19,20376964.0,538818229.0,2021-10-13T23:35:23.428Z
yield-guild-games,Yield Guild Games,6.12,37735174.0,538230865.0,2021-10-13T23:35:22.885Z
convex-finance,Convex Finance,17.2,1758081.0,536542839.0,2021-10-13T23:36:34.223Z
fei-protocol,Fei Protocol,1.0,62337372.0,534716123.0,2021-10-13T23:36:39.834Z
1inch,1inch,2.96,88331755.0,534711418.0,2021-10-13T23:36:37.567Z
dent,Dent,0.00544676,26001115.0,521141275.0,2021-10-13T23:35:35.732Z
wax,WAX,0.294733,47263886.0,518010962.0,2021-10-13T23:35:44.212Z
woo-network,WOO Network,0.985807,52279830.0,515038450.0,2021-10-13T23:36:28.808Z
fetch-ai,Fetchai,0.733889,35150530.0,505080239.0,2021-10-13T23:35:48.668Z
rocket-pool,Rocket Pool,30.52,1051058.0,494119382.0,2021-10-13T23:25:19.240Z
energy-web-token,Energy Web Token,12.22,14897394.0,485988999.0,2021-10-13T23:35:32.345Z
titanswap,TitanSwap,4.8,311850.0,480161618.0,2021-10-13T23:18:25.190Z
loopring,Loopring,0.380644,23200498.0,474722980.0,2021-10-13T23:36:38.607Z
lisk,Lisk,3.26,15191344.0,472874096.0,2021-10-13T23:36:57.032Z
gnosis,Gnosis,309.38,2906430.0,466888388.0,2021-10-13T23:33:49.768Z
alpha-finance,Alpha Finance,1.03,18598711.0,461245928.0,2021-10-13T23:35:25.085Z
digitalbits,DigitalBits,0.60398,6889173.0,459785171.0,2021-10-13T23:33:33.551Z
ergo,Ergo,10.2,3979980.0,453440493.0,2021-10-13T23:36:18.500Z
swipe,Swipe,2.42,204920283.0,452920479.0,2021-10-13T23:36:34.645Z
reserve-rights-token,Reserve Rights Token,0.03383456,37985276.0,445623365.0,2021-10-13T23:36:38.433Z
livepeer,Livepeer,18.28,16627892.0,444898262.0,2021-10-13T23:36:52.718Z
trust-wallet-token,Trust Wallet Token,1.26,297432434.0,441952553.0,2021-10-13T23:36:06.571Z
pundi-x-2,Pundi X,1.69,9639794.0,437648359.0,2021-10-13T23:35:27.184Z
oxygen,Oxygen,2.15,691483.0,435617576.0,2021-10-13T23:35:11.077Z
bitcoin-diamond,Bitcoin Diamond,2.31,4797380.0,434670414.0,2021-10-13T23:35:20.113Z
rari-governance-token,Rari Governance Token,38.48,24551769.0,433751525.0,2021-10-13T23:35:29.640Z
coti,COTI,0.498296,63389899.0,432741488.0,2021-10-13T23:34:53.385Z
nervos-network,Nervos Network,0.01467497,21067856.0,413783935.0,2021-10-13T23:36:51.582Z
wink,WINkLink,0.0005378,56068901.0,413017464.0,2021-10-13T23:36:50.061Z
plex,PLEX,1.96,37068959.0,410508684.0,2021-10-13T23:35:54.352Z
illuvium,Illuvium,646.18,29865687.0,410368905.0,2021-10-13T23:35:27.114Z
medibloc,Medibloc,0.076151,72468391.0,409873791.0,2021-10-13T23:34:58.369Z
tribe-2,Tribe,0.89964,39583502.0,409158203.0,2021-10-13T23:36:42.633Z
frax,Frax,1.0,7764540.0,405967963.0,2021-10-13T23:36:47.321Z
pirate-chain,Pirate Chain,2.12,1380715.0,397270340.0,2021-10-13T23:35:29.929Z
persistence,Persistence,7.47,3006220.0,392923299.0,2021-10-13T23:35:34.878Z
vethor-token,VeThor Token,0.00946333,25823892.0,389650566.0,2021-10-13T23:36:48.327Z
verge,Verge,0.02369383,26881936.0,387973502.0,2021-10-13T23:36:52.848Z
verasity,Verasity,0.058856,80079606.0,385223351.0,2021-10-13T23:35:36.191Z
tokamak-network,Tokamak Network,9.69,65198182.0,383986801.0,2021-10-13T23:36:44.848Z
seth,sETH,3608.4,609973.0,381749002.0,2021-10-13T23:30:04.514Z
injective-protocol,Injective Protocol,11.64,48682143.0,380354191.0,2021-10-13T23:36:16.395Z
lukso-token,LUKSO Token,25.27,7946273.0,380145283.0,2021-10-13T23:33:44.154Z
vectorspace,Vectorspace AI,9.91,2822005.0,376423846.0,2021-10-13T23:20:58.033Z
radio-caca,Radio Caca,0.00206205,49746734.0,374985508.0,2021-10-13T23:33:34.506Z
badger-dao,Badger DAO,37.85,131898694.0,372249985.0,2021-10-13T23:36:40.948Z
beta-finance,Beta Finance,2.33,94619775.0,371776225.0,2021-10-13T23:36:53.178Z
bakerytoken,BakerySwap,1.91,69008074.0,367725676.0,2021-10-13T23:36:09.387Z
xyo-network,XYO Network,0.0306274,14665256.0,364624237.0,2021-10-13T23:35:39.402Z
electroneum,Electroneum,0.02027222,1143647.0,362955902.0,2021-10-13T23:34:58.869Z
kadena,Kadena,2.37,5622464.0,362426179.0,2021-10-13T23:31:27.936Z
baby-doge-coin,Baby Doge Coin,1.998e-09,31743052.0,361443230.0,2021-10-13T23:36:51.008Z
status,Status,0.092659,18415350.0,359596339.0,2021-10-13T23:36:46.760Z
orbs,Orbs,0.126206,27813657.0,358666521.0,2021-10-13T23:35:14.616Z
pundi-x,Pundi X OLD,0.00150613,5137.86,356227685.0,2021-10-13T22:14:27.619Z
convex-crv,Convex CRV,2.96,980791.0,353124510.0,2021-10-13T22:23:00.605Z
ardor,Ardor,0.3526,20586548.0,351509771.0,2021-10-13T23:36:45.174Z
anchor-protocol,Anchor Protocol,2.81,4804351.0,340842916.0,2021-10-13T23:36:23.296Z
civic,Civic,0.506324,21439012.0,339254470.0,2021-10-13T23:36:14.406Z
velas,Velas,0.153234,7588497.0,339202841.0,2021-10-13T23:36:56.637Z
akash-network,Akash Network,3.01,2010894.0,338172526.0,2021-10-13T23:35:22.564Z
ocean-protocol,Ocean Protocol,0.774915,33788026.0,336485814.0,2021-10-13T23:36:34.062Z
pax-gold,PAX Gold,1798.65,6431700.0,325610394.0,2021-10-13T23:36:12.446Z
venus,Venus,28.67,60858002.0,324178334.0,2021-10-13T23:35:07.744Z
conflux-token,Conflux,0.316702,21329825.0,320413486.0,2021-10-13T23:36:47.658Z
band-protocol,Band Protocol,7.69,22920318.0,320072880.0,2021-10-13T23:35:21.704Z
hive,Hive,0.869204,24868143.0,317933964.0,2021-10-13T23:35:38.253Z
dodo,DODO,1.4,91135446.0,317328971.0,2021-10-13T23:36:45.619Z
iexec-rlc,iExec RLC,4.4,69670850.0,314509778.0,2021-10-13T23:36:14.546Z
