id,name,current_price,total_volume,market_cap,last_updated
bitcoin-gold,Bitcoin Gold,68.61,22300090.0,1195606099.0,2021-10-19T18:54:33.467Z
zilliqa,Zilliqa,0.092001,52667745.0,1168107612.0,2021-10-19T18:54:30.897Z
iostoken,IOST,0.04989512,83105571.0,1142662115.0,2021-10-19T18:54:22.620Z
safemoon,SafeMoon,1.97e-06,5237245.0,1134471812.0,2021-10-19T18:54:37.764Z
spell-token,Spell Token,0.01554778,54399682.0,1133491542.0,2021-10-19T18:54:32.583Z
dydx,dYdX,19.97,168675915.0,1129760591.0,2021-10-19T18:54:40.579Z
telcoin,Telcoin,0.01923311,13551054.0,1105697489.0,2021-10-19T18:54:00.740Z
renbtc,renBTC,63116.0,3027781.0,1094872857.0,2021-10-19T18:52:41.124Z
mina-protocol,Mina Protocol,4.04,22610962.0,1089139285.0,2021-10-19T18:53:26.160Z
curve-dao-token,Curve DAO Token,2.72,89212102.0,1087343112.0,2021-10-19T18:54:26.646Z
kucoin-shares,KuCoin Token,13.89,21739778.0,1086253132.0,2021-10-19T18:54:01.594Z
ravencoin,Ravencoin,0.107756,53599942.0,1074493708.0,2021-10-19T18:54:21.345Z
basic-attention-token,Basic Attention Token,0.680812,67051447.0,1019001553.0,2021-10-19T18:54:40.803Z
nxm,Nexus Mutual,145.56,216129.0,1008713146.0,2021-10-19T18:22:52.965Z
decentraland,Decentraland,0.752508,46431144.0,1000827955.0,2021-10-19T18:54:03.271Z
nexo,NEXO,1.78,8397739.0,993317649.0,2021-10-19T18:54:15.284Z
republic-protocol,REN,0.982604,37037846.0,983342354.0,2021-10-19T18:54:42.691Z
paxos-standard,Pax Dollar,0.998635,4725319.0,939121694.0,2021-10-19T18:54:19.195Z
serum,Serum,7.02,66225261.0,935078868.0,2021-10-19T18:54:32.968Z
zencash,Horizen,79.99,45153513.0,931770272.0,2021-10-19T18:54:02.530Z
bancor,Bancor Network Token,4.06,53616658.0,916921949.0,2021-10-19T18:54:38.391Z
bitclout,Decentralized Social,87.78,201429.0,916723425.0,2021-10-19T18:46:17.438Z
siacoin,Siacoin,0.01822927,41607101.0,899129037.0,2021-10-19T18:54:38.355Z
perpetual-protocol,Perpetual Protocol,16.12,101751928.0,896609269.0,2021-10-19T18:54:17.727Z
